produto;descricao;departamento;nome_departamento
1033635;Alicate Corta Unhas e Lixa PET-480;3;higiene-limpeza-gatos
3116735;Criadeira Mini Simples TudoPet;7;peixes
3124714;Cama Europa Super Pop Fábrica Pet Azul;12;casas-camas-cachorros
3111847;Viveiro Para Calopsita Pássaro Manso Bragança De Aramado Plus Amarelo;4;passaros
3107098;Ração Purina Kanina para Cães Adultos Carne e Cereais;10;racoes-cachorros
3104108;Vermífugo Top Dog Cães 10kg;13;medicamentos-cachorros
3111030;Ração Extrusada para Papagaio Regular Bits Megazoo;4;passaros
3141517;Brinquedo Peixe Palhaço com Catnip HomePet;6;brinquedos-gatos
1026548;Shampoo Neutralizador de Odores Sanol;2;higiene-limpeza-cachorros
3145035;Petisco Clássicos Orelha Desidratada Bio Dog;1;petiscos-cachorros
3117110;Brinquedo Dentalbone Tubo com Corda Odontopet;11;brinquedos-cachorros
1031764;Areia Gato Siliclean Sílica Gel Regular;3;higiene-limpeza-gatos
3106854;Enxoval Cama de Cachorro Dupla Face Lola com Proteção Chevron Tiffany;12;casas-camas-cachorros
3137659;Ração Dog Chow Cães Adultos Médios e Grandes Carne, Frango e Arroz;10;racoes-cachorros
3130039;Ração Mini Betta Alcon;7;peixes
3149166;Cefex Suspensão;16;medicamentos-gatos
3127648;Antipulgas Simparic 40 a 60kg Cães 120mg;13;medicamentos-cachorros
3148499;Ração Úmida Royal Canin Urinary S/O Gatos Adultos;8;racoes-gatos
1027290;Cat Nip Petmais;6;brinquedos-gatos
3139294;Enfeite Tubarão Martelo Lester;7;peixes
3119513;Zitrex 100mg com 6 comprimidos;16;medicamentos-gatos
1032167;Bandeja Higiênica Quadrada FourPlastic Verde;3;higiene-limpeza-gatos
3140933;Ração Úmida N&D Feline Prime Cordeiro e Blueberry;8;racoes-gatos
3130029;Ração Biofresh Cães Adultos Raças Médias;10;racoes-cachorros
1020143;Banho a Seco Vet+20 Filhotes;2;higiene-limpeza-cachorros
3105529;Brinquedo Baby Pato Animania Amarelo;11;brinquedos-cachorros
3133258;Petisco Snack Bife Recheado Carne Cadet Gourmet;1;petiscos-cachorros
3095926;NexGard Antipulgas e Carrapatos para Cães de 10,1 a 25kg;13;medicamentos-cachorros
3146330;Colchonete Para Pet Cachorro E Gato Tapete Cama Refrescante;12;casas-camas-cachorros
3129766;Ração Quatree Supreme Cães Sênior+7 Raça Pequena 3kg;10;racoes-cachorros
1030418;Kit Higiene para Gatos Joy Furacão Pet Rosa;3;higiene-limpeza-gatos
3113654;Termômetro Digital Eletrônico Soma;7;peixes
1002755;Saquinho com Catnip HomePet;6;brinquedos-gatos
3122546;Comedouro Suporte Kakatoo;4;passaros
3151501;Floral Vet Spray Stress e Agressividade Animal Flower;16;medicamentos-gatos
3127847;Cama Angel Fábrica Pet;12;casas-camas-cachorros
3130314;Apoquel 3,6 mg para Cachorro;13;medicamentos-cachorros
3127524;Brinquedo Halteres Látex C-Pet Verde;11;brinquedos-cachorros
3110180;Petisco Bilisko Bifinho de Maçã e Cenoura para Cães;1;petiscos-cachorros
3129447;Ração Gran Plus Menu Gatos Adultos Castrados Carne e Arroz;8;racoes-gatos
1022227;Like Clean Higienizador de Patas;2;higiene-limpeza-cachorros
1020076;Brinquedo Laser HomePet;6;brinquedos-gatos
3136656;Colírio Veterinário Simões;13;medicamentos-cachorros
3129595;Ração Special Dog Ultralife Cães Adultos Raças Pequenas;10;racoes-cachorros
3130012;Capa Almofada Para Cachorro Mabuu Pet Linhas Geométricas Preta;12;casas-camas-cachorros
3123874;Ração para Calopsita e Ring-Necks MM-15 Megazoo;4;passaros
3118235;Bolinha Fantasia Com Corda Animania Azul;11;brinquedos-cachorros
2971882;Ração Color Flakes Tetra;7;peixes
1021518;Espuma Higienizadora Limpa Carinha Pet Clean;2;higiene-limpeza-cachorros
3126368;Mordedor Buddy Toys Disco Nylon;1;petiscos-cachorros
3151080;Ração Fórmula Natural Fresh Meat Gatos Light Frango;8;racoes-gatos
1033137;Bandeja Higiênica Alvorada Azul;3;higiene-limpeza-gatos
3151300;Cefex 1g 10 drágeas;16;medicamentos-gatos
1014698;Fralda Higiênica Ecofralda Macho Dogs Care 12 unidades;2;higiene-limpeza-cachorros
1028704;Escova Para Gatos De Parede 2 Em 1 Massagem E Tira Pelos;3;higiene-limpeza-gatos
3106366;Poleiro Simples Para Pássaros Prateado Calopsita Papagaio;4;passaros
3135625;Sifão com Sugador Manual HJS-300 Sun Sun;7;peixes
3129695;Ração Guabi Natural Cães Filhotes Médios Frango e Arroz Integral;10;racoes-cachorros
3145337;Manta Pet para Cães e Gatos HomeZoo - Rosa Velho;12;casas-camas-cachorros
3098225;Antipulgas Advantage Max3 Cães 4kg a 10kg;13;medicamentos-cachorros
3130771;Brinquedo Kit Ratinhos Pelúcia CatNip HomePet;6;brinquedos-gatos
3149169;Artrin Condroprotetor Brouwer;16;medicamentos-gatos
3087027;Brinquedo Mordedor Osso de Borracha FuracãoBone Furacão Pet Vermelho;11;brinquedos-cachorros
3136236;Biscoito para Cães Lollipop Pet Dog;1;petiscos-cachorros
3140913;Ração Origens Gatos Adultos Carne;8;racoes-gatos
1024487;Colônia Fêmea Sanol Dog;2;higiene-limpeza-cachorros
1034339;Areia Higiênica Dbest Tradicional;3;higiene-limpeza-gatos
3146440;Ração Equilíbrio Veterinary Renal Gatos Adultos;8;racoes-gatos
3122755;Piusana Papik Mundo Animal;4;passaros
